image_path,assigned_split,clahe_image_path
D:\ALS\data\liver_images\F0\a112.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a112.jpg
D:\ALS\data\liver_images\F0\a1124.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1124.jpg
D:\ALS\data\liver_images\F0\a1125.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1125.jpg
D:\ALS\data\liver_images\F0\a1127.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1127.jpg
D:\ALS\data\liver_images\F0\a1129.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1129.jpg
D:\ALS\data\liver_images\F0\a113.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a113.jpg
D:\ALS\data\liver_images\F0\a1134.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1134.jpg
D:\ALS\data\liver_images\F0\a114.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a114.jpg
D:\ALS\data\liver_images\F0\a1143.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1143.jpg
D:\ALS\data\liver_images\F0\a115.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a115.jpg
D:\ALS\data\liver_images\F0\a1159.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1159.jpg
D:\ALS\data\liver_images\F0\a116.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a116.jpg
D:\ALS\data\liver_images\F0\a1160.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1160.jpg
D:\ALS\data\liver_images\F0\a1161.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1161.jpg
D:\ALS\data\liver_images\F0\a1162.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1162.jpg
D:\ALS\data\liver_images\F0\a1167.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1167.jpg
D:\ALS\data\liver_images\F0\a117.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a117.jpg
D:\ALS\data\liver_images\F0\a1170.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1170.jpg
D:\ALS\data\liver_images\F0\a1171.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1171.jpg
D:\ALS\data\liver_images\F0\a118.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a118.jpg
D:\ALS\data\liver_images\F0\a1180.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1180.jpg
D:\ALS\data\liver_images\F0\a1181.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1181.jpg
D:\ALS\data\liver_images\F0\a119.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a119.jpg
D:\ALS\data\liver_images\F0\a1198.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1198.jpg
D:\ALS\data\liver_images\F0\a120.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a120.jpg
D:\ALS\data\liver_images\F0\a1204.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1204.jpg
D:\ALS\data\liver_images\F0\a121.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a121.jpg
D:\ALS\data\liver_images\F0\a1218.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1218.jpg
D:\ALS\data\liver_images\F0\a1219.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1219.jpg
D:\ALS\data\liver_images\F0\a122.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a122.jpg
D:\ALS\data\liver_images\F0\a1226.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1226.jpg
D:\ALS\data\liver_images\F0\a123.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a123.jpg
D:\ALS\data\liver_images\F0\a124.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a124.jpg
D:\ALS\data\liver_images\F0\a1241.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1241.jpg
D:\ALS\data\liver_images\F0\a125.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a125.jpg
D:\ALS\data\liver_images\F0\a1251.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1251.jpg
D:\ALS\data\liver_images\F0\a1257.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1257.jpg
D:\ALS\data\liver_images\F0\a1258.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1258.jpg
D:\ALS\data\liver_images\F0\a1259.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1259.jpg
D:\ALS\data\liver_images\F0\a126.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a126.jpg
D:\ALS\data\liver_images\F0\a1261.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1261.jpg
D:\ALS\data\liver_images\F0\a1264.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1264.jpg
D:\ALS\data\liver_images\F0\a1265.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1265.jpg
D:\ALS\data\liver_images\F0\a127.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a127.jpg
D:\ALS\data\liver_images\F0\a1277.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1277.jpg
D:\ALS\data\liver_images\F0\a128.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a128.jpg
D:\ALS\data\liver_images\F0\a129.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a129.jpg
D:\ALS\data\liver_images\F0\a1297.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1297.jpg
D:\ALS\data\liver_images\F0\a1299.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1299.jpg
D:\ALS\data\liver_images\F0\a130.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a130.jpg
D:\ALS\data\liver_images\F0\a1303.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1303.jpg
D:\ALS\data\liver_images\F0\a1305.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1305.jpg
D:\ALS\data\liver_images\F0\a1306.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1306.jpg
D:\ALS\data\liver_images\F0\a131.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a131.jpg
D:\ALS\data\liver_images\F0\a1313.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1313.jpg
D:\ALS\data\liver_images\F0\a1319.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1319.jpg
D:\ALS\data\liver_images\F0\a132.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a132.jpg
D:\ALS\data\liver_images\F0\a133.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a133.jpg
D:\ALS\data\liver_images\F0\a134.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a134.jpg
D:\ALS\data\liver_images\F0\a135.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a135.jpg
D:\ALS\data\liver_images\F0\a1357.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1357.jpg
D:\ALS\data\liver_images\F0\a136.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a136.jpg
D:\ALS\data\liver_images\F0\a1369.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1369.jpg
D:\ALS\data\liver_images\F0\a137.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a137.jpg
D:\ALS\data\liver_images\F0\a1373.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1373.jpg
D:\ALS\data\liver_images\F0\a1375.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1375.jpg
D:\ALS\data\liver_images\F0\a138.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a138.jpg
D:\ALS\data\liver_images\F0\a139.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a139.jpg
D:\ALS\data\liver_images\F0\a1393.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1393.jpg
D:\ALS\data\liver_images\F0\a1397.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1397.jpg
D:\ALS\data\liver_images\F0\a140.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a140.jpg
D:\ALS\data\liver_images\F0\a1402.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1402.jpg
D:\ALS\data\liver_images\F0\a1409.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1409.jpg
D:\ALS\data\liver_images\F0\a141.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a141.jpg
D:\ALS\data\liver_images\F0\a1411.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1411.jpg
D:\ALS\data\liver_images\F0\a142.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a142.jpg
D:\ALS\data\liver_images\F0\a1421.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1421.jpg
D:\ALS\data\liver_images\F0\a1422.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1422.jpg
D:\ALS\data\liver_images\F0\a1423.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1423.jpg
D:\ALS\data\liver_images\F0\a1426.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1426.jpg
D:\ALS\data\liver_images\F0\a1429.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1429.jpg
D:\ALS\data\liver_images\F0\a143.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a143.jpg
D:\ALS\data\liver_images\F0\a1437.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1437.jpg
D:\ALS\data\liver_images\F0\a144.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a144.jpg
D:\ALS\data\liver_images\F0\a1443.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1443.jpg
D:\ALS\data\liver_images\F0\a145.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a145.jpg
D:\ALS\data\liver_images\F0\a1458.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1458.jpg
D:\ALS\data\liver_images\F0\a146.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a146.jpg
D:\ALS\data\liver_images\F0\a1464.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1464.jpg
D:\ALS\data\liver_images\F0\a1465.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1465.jpg
D:\ALS\data\liver_images\F0\a1468.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1468.jpg
D:\ALS\data\liver_images\F0\a147.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a147.jpg
D:\ALS\data\liver_images\F0\a1470.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1470.jpg
D:\ALS\data\liver_images\F0\a1471.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1471.jpg
D:\ALS\data\liver_images\F0\a1474.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1474.jpg
D:\ALS\data\liver_images\F0\a1475.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1475.jpg
D:\ALS\data\liver_images\F0\a1479.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1479.jpg
D:\ALS\data\liver_images\F0\a148.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a148.jpg
D:\ALS\data\liver_images\F0\a1483.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1483.jpg
D:\ALS\data\liver_images\F0\a1487.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1487.jpg
D:\ALS\data\liver_images\F0\a149.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a149.jpg
D:\ALS\data\liver_images\F0\a150.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a150.jpg
D:\ALS\data\liver_images\F0\a1503.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1503.jpg
D:\ALS\data\liver_images\F0\a1505.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1505.jpg
D:\ALS\data\liver_images\F0\a151.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a151.jpg
D:\ALS\data\liver_images\F0\a1511.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1511.jpg
D:\ALS\data\liver_images\F0\a152.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a152.jpg
D:\ALS\data\liver_images\F0\a1520.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1520.jpg
D:\ALS\data\liver_images\F0\a1526.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1526.jpg
D:\ALS\data\liver_images\F0\a153.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a153.jpg
D:\ALS\data\liver_images\F0\a1536.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1536.jpg
D:\ALS\data\liver_images\F0\a154.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a154.jpg
D:\ALS\data\liver_images\F0\a1541.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1541.jpg
D:\ALS\data\liver_images\F0\a1542.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1542.jpg
D:\ALS\data\liver_images\F0\a1544.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1544.jpg
D:\ALS\data\liver_images\F0\a1546.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1546.jpg
D:\ALS\data\liver_images\F0\a1547.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1547.jpg
D:\ALS\data\liver_images\F0\a1548.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1548.jpg
D:\ALS\data\liver_images\F0\a155.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a155.jpg
D:\ALS\data\liver_images\F0\a1556.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1556.jpg
D:\ALS\data\liver_images\F0\a156.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a156.jpg
D:\ALS\data\liver_images\F0\a1568.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1568.jpg
D:\ALS\data\liver_images\F0\a157.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a157.jpg
D:\ALS\data\liver_images\F0\a1573.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1573.jpg
D:\ALS\data\liver_images\F0\a1578.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1578.jpg
D:\ALS\data\liver_images\F0\a158.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a158.jpg
D:\ALS\data\liver_images\F0\a1589.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1589.jpg
D:\ALS\data\liver_images\F0\a159.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a159.jpg
D:\ALS\data\liver_images\F0\a1593.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1593.jpg
D:\ALS\data\liver_images\F0\a1596.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1596.jpg
D:\ALS\data\liver_images\F0\a1599.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1599.jpg
D:\ALS\data\liver_images\F0\a160.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a160.jpg
D:\ALS\data\liver_images\F0\a1604.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1604.jpg
D:\ALS\data\liver_images\F0\a1605.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1605.jpg
D:\ALS\data\liver_images\F0\a161.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a161.jpg
D:\ALS\data\liver_images\F0\a1618.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1618.jpg
D:\ALS\data\liver_images\F0\a1619.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1619.jpg
D:\ALS\data\liver_images\F0\a162.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a162.jpg
D:\ALS\data\liver_images\F0\a1625.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1625.jpg
D:\ALS\data\liver_images\F0\a163.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a163.jpg
D:\ALS\data\liver_images\F0\a164.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a164.jpg
D:\ALS\data\liver_images\F0\a165.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a165.jpg
D:\ALS\data\liver_images\F0\a166.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a166.jpg
D:\ALS\data\liver_images\F0\a1665.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1665.jpg
D:\ALS\data\liver_images\F0\a1668.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1668.jpg
D:\ALS\data\liver_images\F0\a167.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a167.jpg
D:\ALS\data\liver_images\F0\a1670.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1670.jpg
D:\ALS\data\liver_images\F0\a1672.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1672.jpg
D:\ALS\data\liver_images\F0\a1673.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1673.jpg
D:\ALS\data\liver_images\F0\a168.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a168.jpg
D:\ALS\data\liver_images\F0\a1688.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1688.jpg
D:\ALS\data\liver_images\F0\a169.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a169.jpg
D:\ALS\data\liver_images\F0\a1691.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1691.jpg
D:\ALS\data\liver_images\F0\a1694.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1694.jpg
D:\ALS\data\liver_images\F0\a1695.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1695.jpg
D:\ALS\data\liver_images\F0\a1698.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1698.jpg
D:\ALS\data\liver_images\F0\a170.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a170.jpg
D:\ALS\data\liver_images\F0\a1703.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1703.jpg
D:\ALS\data\liver_images\F0\a171.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a171.jpg
D:\ALS\data\liver_images\F0\a1712.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1712.jpg
D:\ALS\data\liver_images\F0\a1719.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1719.jpg
D:\ALS\data\liver_images\F0\a172.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a172.jpg
D:\ALS\data\liver_images\F0\a1727.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1727.jpg
D:\ALS\data\liver_images\F0\a1728.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1728.jpg
D:\ALS\data\liver_images\F0\a173.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a173.jpg
D:\ALS\data\liver_images\F0\a1737.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1737.jpg
D:\ALS\data\liver_images\F0\a174.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a174.jpg
D:\ALS\data\liver_images\F0\a175.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a175.jpg
D:\ALS\data\liver_images\F0\a1751.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1751.jpg
D:\ALS\data\liver_images\F0\a1755.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1755.jpg
D:\ALS\data\liver_images\F0\a176.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a176.jpg
D:\ALS\data\liver_images\F0\a1762.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1762.jpg
D:\ALS\data\liver_images\F0\a1764.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1764.jpg
D:\ALS\data\liver_images\F0\a1769.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1769.jpg
D:\ALS\data\liver_images\F0\a177.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a177.jpg
D:\ALS\data\liver_images\F0\a178.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a178.jpg
D:\ALS\data\liver_images\F0\a1780.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1780.jpg
D:\ALS\data\liver_images\F0\a179.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a179.jpg
D:\ALS\data\liver_images\F0\a1791.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1791.jpg
D:\ALS\data\liver_images\F0\a180.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a180.jpg
D:\ALS\data\liver_images\F0\a1805.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1805.jpg
D:\ALS\data\liver_images\F0\a181.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a181.jpg
D:\ALS\data\liver_images\F0\a1812.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1812.jpg
D:\ALS\data\liver_images\F0\a1818.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1818.jpg
D:\ALS\data\liver_images\F0\a1819.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1819.jpg
D:\ALS\data\liver_images\F0\a182.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a182.jpg
D:\ALS\data\liver_images\F0\a1825.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1825.jpg
D:\ALS\data\liver_images\F0\a183.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a183.jpg
D:\ALS\data\liver_images\F0\a1835.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1835.jpg
D:\ALS\data\liver_images\F0\a1838.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1838.jpg
D:\ALS\data\liver_images\F0\a184.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a184.jpg
D:\ALS\data\liver_images\F0\a185.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a185.jpg
D:\ALS\data\liver_images\F0\a1854.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1854.jpg
D:\ALS\data\liver_images\F0\a1855.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1855.jpg
D:\ALS\data\liver_images\F0\a186.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a186.jpg
D:\ALS\data\liver_images\F0\a187.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a187.jpg
D:\ALS\data\liver_images\F0\a1874.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1874.jpg
D:\ALS\data\liver_images\F0\a188.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a188.jpg
D:\ALS\data\liver_images\F0\a1887.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1887.jpg
D:\ALS\data\liver_images\F0\a189.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a189.jpg
D:\ALS\data\liver_images\F0\a1891.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1891.jpg
D:\ALS\data\liver_images\F0\a1893.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1893.jpg
D:\ALS\data\liver_images\F0\a1895.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1895.jpg
D:\ALS\data\liver_images\F0\a190.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a190.jpg
D:\ALS\data\liver_images\F0\a1903.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1903.jpg
D:\ALS\data\liver_images\F0\a1906.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1906.jpg
D:\ALS\data\liver_images\F0\a1909.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1909.jpg
D:\ALS\data\liver_images\F0\a191.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a191.jpg
D:\ALS\data\liver_images\F0\a1910.jpg,Test,D:\ALS\outputs\clahe_processed\Test\F0\a1910.jpg
D:\ALS\data\liver_images\F0\a1914.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1914.jpg
D:\ALS\data\liver_images\F0\a1918.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1918.jpg
D:\ALS\data\liver_images\F0\a1919.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a1919.jpg
D:\ALS\data\liver_images\F0\a192.jpg,Train,D:\ALS\outputs\clahe_processed\Train\F0\a192.jpg
